age,brand,model,price_usd,sentiment,country,language,verified_purchase,review_length,word_count,source
45,Realme,Realme 12 Pro,337.31,Negative,India,Hindi,True,46,7,Amazon
18,Realme,Realme 12 Pro,307.78,Positive,Brazil,Portuguese,True,74,12,Flipkart
27,Google,Pixel 6,864.53,Positive,India,Hindi,True,55,11,AliExpress
19,Xiaomi,Redmi Note 13,660.94,Positive,UAE,English,False,66,11,Amazon
38,Motorola,Edge 50,792.13,Neutral,Brazil,Portuguese,True,73,12,BestBuy
38,Apple,iPhone 14,948.79,Positive,Brazil,Portuguese,False,70,13,AliExpress
40,OnePlus,OnePlus 12,420.13,Positive,UAE,English,False,58,10,eBay
39,Apple,iPhone SE,1443.76,Negative,Australia,English,True,56,8,Amazon
32,Realme,Realme 12 Pro,275.73,Positive,Germany,German,False,60,12,eBay
31,OnePlus,OnePlus Nord 3,545.57,Positive,Australia,English,True,72,12,BestBuy
20,Realme,Realme 12 Pro,462.3,Neutral,UK,English,True,70,12,eBay
30,Xiaomi,Mi 13 Pro,495.45,Neutral,Canada,English,True,66,13,Amazon
18,Motorola,Moto G Power,404.64,Positive,Brazil,Portuguese,True,59,8,AliExpress
32,Realme,Realme Narzo 70,247.88,Negative,Canada,English,False,68,11,eBay
39,Samsung,Galaxy Note 20,1146.49,Neutral,UK,English,True,68,14,BestBuy
19,Realme,Realme Narzo 70,262.0,Neutral,Brazil,Portuguese,False,66,13,Flipkart
18,Google,Pixel 7a,1010.68,Positive,USA,English,True,74,12,Flipkart
39,Motorola,Razr 40,678.98,Neutral,Brazil,Portuguese,True,62,11,AliExpress
18,Xiaomi,Poco X6,432.8,Positive,Germany,German,True,58,10,Amazon
43,Realme,Realme Narzo 70,403.17,Positive,Australia,English,True,70,13,eBay
46,Apple,iPhone SE,1470.12,Negative,UK,English,False,54,6,BestBuy
22,Motorola,Razr 40,567.03,Positive,Canada,English,True,72,12,AliExpress
53,Motorola,Razr 40,227.18,Positive,India,Hindi,True,66,11,Amazon
25,OnePlus,OnePlus Nord 3,395.08,Positive,Canada,English,False,71,13,Amazon
27,Apple,iPhone 15 Pro,997.61,Neutral,USA,English,True,65,11,eBay
27,Google,Pixel 8,506.5,Negative,Germany,German,False,56,7,AliExpress
29,Motorola,Razr 40,673.77,Positive,Canada,English,False,65,10,BestBuy
25,Xiaomi,Poco X6,236.38,Negative,UAE,English,True,60,9,BestBuy
29,Apple,iPhone 13,1094.1,Positive,Canada,English,True,74,12,Amazon
30,Samsung,Galaxy S24,1369.88,Positive,India,Hindi,True,50,8,BestBuy
39,Realme,Realme Narzo 70,298.0,Negative,Canada,English,True,55,6,AliExpress
33,Google,Pixel 7a,1084.64,Negative,Canada,English,True,68,11,Amazon
25,Realme,Realme Narzo 70,571.75,Negative,Australia,English,True,56,9,Amazon
45,Realme,Realme 12 Pro,543.18,Negative,India,Hindi,False,55,11,Amazon
45,Samsung,Galaxy A55,1071.57,Positive,Canada,English,True,64,12,Flipkart
40,OnePlus,OnePlus Nord 3,438.64,Positive,Canada,English,False,69,13,AliExpress
34,Apple,iPhone 14,906.6,Positive,India,Hindi,True,60,12,eBay
21,Xiaomi,Redmi Note 13,220.43,Positive,Brazil,Portuguese,True,71,13,eBay
27,OnePlus,OnePlus Nord 3,917.83,Negative,Germany,German,True,56,9,BestBuy
38,Samsung,Galaxy S24,1147.47,Positive,India,Hindi,True,50,8,eBay
19,Google,Pixel 6,512.04,Positive,UK,English,False,74,12,Amazon
18,Google,Pixel 8,887.55,Neutral,Canada,English,False,56,11,AliExpress
29,Samsung,Galaxy S24,924.51,Positive,USA,English,False,78,14,Flipkart
25,Realme,Realme Narzo 70,358.68,Positive,Canada,English,True,65,10,BestBuy
37,Xiaomi,Mi 13 Pro,267.21,Positive,USA,English,True,80,14,AliExpress
28,Apple,iPhone 14,1292.9,Neutral,Canada,English,True,72,10,BestBuy
43,Apple,iPhone 13,1401.76,Positive,Australia,English,True,56,9,AliExpress
36,Realme,Realme Narzo 70,238.49,Neutral,India,Hindi,False,72,10,Amazon
38,Samsung,Galaxy Note 20,969.89,Neutral,USA,English,True,62,10,BestBuy
31,OnePlus,OnePlus 11R,574.7,Positive,Canada,English,True,47,9,BestBuy
34,Google,Pixel 7a,917.99,Negative,Germany,German,True,50,6,BestBuy
55,Apple,iPhone 14,1436.67,Negative,Australia,English,True,56,11,eBay
30,Google,Pixel 6,700.1,Positive,Brazil,Portuguese,True,58,10,Flipkart
48,Google,Pixel 8,1048.91,Positive,Australia,English,True,56,10,Amazon
18,OnePlus,OnePlus Nord 3,473.95,Positive,India,Hindi,True,47,9,Amazon
39,OnePlus,OnePlus 11R,366.5,Positive,Brazil,Portuguese,False,56,10,Flipkart
41,Motorola,Edge 50,633.36,Negative,UK,English,True,54,8,BestBuy
18,Motorola,Moto G Power,355.65,Positive,Canada,English,True,56,9,Amazon
36,Xiaomi,Redmi Note 13,211.23,Positive,UAE,English,False,51,9,eBay
32,OnePlus,OnePlus Nord 3,438.98,Negative,Canada,English,True,53,9,eBay
22,OnePlus,OnePlus Nord 3,458.08,Neutral,USA,English,True,68,11,eBay
36,Realme,Realme Narzo 70,270.27,Positive,India,Hindi,True,70,13,BestBuy
48,Apple,iPhone 14,1282.55,Positive,Brazil,Portuguese,True,57,10,AliExpress
31,Apple,iPhone 15 Pro,1460.19,Positive,Canada,English,True,59,8,Amazon
18,Google,Pixel 6,923.35,Negative,Canada,English,True,62,9,BestBuy
19,Google,Pixel 7a,857.76,Positive,USA,English,True,66,10,BestBuy
40,Xiaomi,Poco X6,635.05,Positive,Germany,German,True,55,11,eBay
18,Realme,Realme 12 Pro,300.64,Positive,Germany,German,True,71,12,Flipkart
24,Xiaomi,Poco X6,503.87,Positive,Australia,English,True,64,11,Flipkart
21,Google,Pixel 7a,822.18,Neutral,UK,English,True,64,8,AliExpress
20,OnePlus,OnePlus 12,615.49,Positive,Canada,English,False,56,9,Flipkart
40,Apple,iPhone 14,1266.69,Negative,Canada,English,True,66,10,AliExpress
30,Samsung,Galaxy Z Flip,1217.97,Negative,UAE,English,True,55,8,Amazon
29,Motorola,Edge 50,656.62,Positive,Brazil,Portuguese,False,51,9,AliExpress
24,Xiaomi,Redmi Note 13,510.46,Positive,Canada,English,True,69,13,eBay
18,Realme,Realme Narzo 70,214.6,Neutral,UAE,English,False,67,12,eBay
33,Motorola,Razr 40,790.39,Positive,UAE,English,True,71,12,Flipkart
29,Motorola,Razr 40,752.51,Neutral,Germany,German,True,72,10,BestBuy
39,Xiaomi,Redmi Note 13,490.99,Positive,Germany,German,True,61,10,AliExpress
29,Apple,iPhone 13,1084.41,Positive,UK,English,True,60,10,Flipkart
