iter	MultiClass
0	1.069111418
1	1.043806871
2	1.018405521
3	0.9962951557
4	0.9756146684
5	0.955103337
6	0.9350005306
7	0.9194307047
8	0.9034593212
9	0.8909208432
10	0.8768205178
11	0.8626258173
12	0.8513240351
13	0.8417324529
14	0.8298379722
15	0.8170327653
16	0.8053261548
17	0.795985582
18	0.7872882292
19	0.7774461413
20	0.7695635766
21	0.761196627
22	0.7544683388
23	0.7485746211
24	0.7430877726
25	0.7357020843
26	0.7294497314
27	0.7227976162
28	0.7172934226
29	0.7119646847
30	0.7051009158
31	0.699229016
32	0.6947092794
33	0.6896694281
34	0.6855051522
35	0.6794095964
36	0.6731073875
37	0.6691907424
38	0.6620442032
39	0.6593962843
40	0.6542162491
41	0.6519420021
42	0.647234731
43	0.6437232342
44	0.6410949491
45	0.6363057145
46	0.6295662988
47	0.6259121784
48	0.6218364224
49	0.6195233597
50	0.6132925424
51	0.6111645555
52	0.6081519293
53	0.6055794222
54	0.6025300237
55	0.5990996501
56	0.5958329342
57	0.5914561886
58	0.5867138137
59	0.5848316694
60	0.5834624364
61	0.5805021698
62	0.5784061784
63	0.5757757415
64	0.5711987686
65	0.5690595398
66	0.5666079531
67	0.564203477
68	0.5620989324
69	0.5597211947
70	0.5582808628
71	0.5564589941
72	0.5542620841
73	0.5514026805
74	0.547438719
75	0.5453027348
76	0.5419313941
77	0.540071181
78	0.5359032159
79	0.5331306829
80	0.528781236
81	0.5276677634
82	0.526258455
83	0.5247748514
84	0.5221090246
85	0.5205329458
86	0.5173308313
87	0.5157634633
88	0.5139857803
89	0.5118281295
90	0.5104093954
91	0.5078565205
92	0.5049059654
93	0.5039521553
94	0.5031057846
95	0.5021232907
96	0.4998619147
97	0.4966552083
98	0.4945842007
99	0.4930340173
100	0.4923203741
101	0.4907211506
102	0.4898807528
103	0.4886098441
104	0.4879785676
105	0.4833663596
106	0.4818692948
107	0.4793724218
108	0.4777230639
109	0.4758268021
110	0.4729607449
111	0.4709620081
112	0.469217871
113	0.4676499777
114	0.4653645782
115	0.4630476079
116	0.4599250966
117	0.4595490008
118	0.4588242844
119	0.4560468572
120	0.454230389
121	0.453199585
122	0.4515904543
123	0.448365249
124	0.4464859763
125	0.4443261321
126	0.4422252802
127	0.4405638252
128	0.4401263588
129	0.43955323
130	0.4387046632
131	0.435663931
132	0.4344545432
133	0.4318195692
134	0.4303233418
135	0.4284510277
136	0.4270958216
137	0.4258678254
138	0.4245803302
139	0.4235005662
140	0.421350462
141	0.4208826075
142	0.4189986873
143	0.4179953293
144	0.4167679101
145	0.4145722374
146	0.4134235172
147	0.4115781937
148	0.4110966905
149	0.4100802588
150	0.4097721552
151	0.4089491148
152	0.40802845
153	0.4062546617
154	0.4053417541
155	0.4036261939
156	0.4013744765
157	0.4000495383
158	0.3984917074
159	0.3969561669
160	0.3954778344
161	0.3943188471
