iter	Passed	Remaining
0	25	10149
1	45	9060
2	65	8681
3	90	8925
4	110	8693
5	129	8496
6	149	8372
7	165	8130
8	183	7972
9	200	7800
10	216	7648
11	232	7502
12	248	7383
13	263	7265
14	279	7163
15	295	7092
16	316	7126
17	337	7159
18	354	7109
19	373	7098
20	391	7064
21	408	7024
22	425	6971
23	440	6903
24	454	6823
25	472	6794
26	489	6763
27	504	6703
28	521	6673
29	539	6649
30	555	6616
31	572	6580
32	587	6536
33	607	6538
34	622	6487
35	636	6439
36	651	6388
37	665	6341
38	680	6303
39	695	6258
40	710	6221
41	722	6159
42	739	6135
43	752	6088
44	763	6023
45	779	5997
46	794	5964
47	810	5945
48	828	5937
49	842	5899
50	856	5863
51	867	5807
52	882	5780
53	898	5759
54	912	5723
55	929	5710
56	942	5672
57	957	5646
58	972	5617
59	983	5575
60	996	5539
61	1009	5503
62	1024	5480
63	1039	5457
64	1056	5443
65	1071	5420
66	1086	5398
67	1099	5370
68	1114	5344
69	1128	5318
70	1139	5280
71	1153	5257
72	1169	5238
73	1186	5225
74	1199	5197
75	1214	5175
76	1229	5158
77	1245	5140
78	1261	5125
79	1278	5114
80	1297	5109
81	1313	5095
82	1331	5083
83	1346	5065
84	1363	5052
85	1379	5035
86	1396	5024
87	1418	5029
88	1436	5020
89	1456	5016
90	1471	4998
91	1487	4979
92	1511	4989
93	1527	4971
94	1538	4939
95	1557	4930
96	1574	4919
97	1591	4904
98	1608	4889
99	1620	4862
100	1637	4846
101	1658	4845
102	1675	4832
103	1691	4813
104	1702	4782
105	1717	4764
106	1732	4745
107	1749	4729
108	1763	4707
109	1781	4696
110	1800	4687
111	1825	4694
112	1849	4696
113	1867	4684
114	1887	4678
115	1908	4673
116	1926	4660
117	1947	4653
118	1965	4641
119	1990	4643
120	2007	4628
121	2027	4620
122	2046	4609
123	2068	4603
124	2087	4592
125	2104	4577
126	2122	4562
127	2137	4542
128	2151	4518
129	2162	4491
130	2175	4467
131	2188	4442
132	2201	4418
133	2213	4394
134	2226	4371
135	2242	4353
136	2257	4334
137	2273	4315
138	2286	4293
139	2300	4271
140	2315	4252
141	2327	4229
142	2343	4211
143	2358	4193
144	2375	4177
145	2392	4162
146	2410	4148
147	2430	4137
148	2445	4119
149	2459	4098
150	2475	4081
151	2489	4062
152	2505	4045
153	2523	4030
154	2539	4013
155	2553	3994
156	2568	3975
157	2583	3957
158	2599	3939
159	2613	3920
160	2629	3902
161	2644	3885
162	2657	3864
163	2670	3843
164	2683	3822
165	2697	3801
166	2710	3781
167	2725	3763
168	2738	3742
169	2752	3724
170	2765	3704
171	2782	3688
172	2796	3669
173	2810	3650
174	2825	3632
175	2840	3614
176	2853	3595
177	2868	3577
178	2882	3559
179	2899	3543
180	2917	3529
181	2935	3515
182	2951	3499
183	2966	3482
184	2983	3466
185	2998	3449
186	3018	3437
187	3035	3422
188	3051	3406
189	3068	3391
190	3085	3376
191	3101	3359
192	3116	3342
193	3131	3325
194	3146	3308
195	3161	3291
196	3175	3272
197	3190	3254
198	3203	3236
199	3219	3219
200	3232	3200
201	3246	3182
202	3264	3168
203	3281	3153
204	3297	3136
205	3313	3120
206	3329	3104
207	3344	3086
208	3359	3070
209	3372	3051
210	3385	3032
211	3398	3013
212	3411	2994
213	3425	2977
214	3439	2959
215	3453	2941
216	3467	2924
217	3482	2907
218	3494	2888
219	3510	2871
220	3527	2857
221	3543	2840
222	3557	2823
223	3571	2806
